# Wavelength_nm	Intensity_rel_units
350.0	143.48
352.0	149.84
354.0	44.68
356.0	44.68
358.0	44.69
360.0	13.67
362.0	13.67
364.0	102.83
366.0	158.19
368.0	158.19
370.0	65.81
372.0	66.20
374.0	68.74
376.0	74.04
378.0	10.99
380.0	95.05
382.0	143.88
384.0	221.96
386.0	135.36
388.0	293.50
390.0	316.22
392.0	385.23
394.0	463.17
396.0	496.57
398.0	461.67
400.0	318.27
402.0	196.64
404.0	502.53
406.0	599.14
408.0	845.17
410.0	976.68
412.0	1003.70
414.0	1282.67
416.0	1168.87
418.0	1462.67
420.0	1523.61
422.0	2128.97
424.0	2668.30
426.0	3079.57
428.0	3388.33
430.0	3591.12
432.0	4142.11
434.0	4455.65
436.0	4806.59
438.0	5099.30
440.0	5881.15
442.0	7096.72
444.0	8106.93
446.0	8763.60
448.0	9592.63
450.0	10484.20
452.0	11528.26
454.0	12274.85
456.0	13276.36
458.0	14327.24
460.0	15175.73
462.0	16572.16
464.0	17933.58
466.0	19895.71
468.0	21108.21
470.0	22074.48
472.0	23214.39
474.0	25235.11
476.0	27048.64
478.0	28201.00
480.0	28702.07
482.0	29787.68
484.0	31230.96
486.0	32443.20
488.0	34528.13
490.0	35736.43
492.0	37388.18
494.0	38614.01
496.0	40504.16
498.0	41589.58
500.0	42369.47
502.0	43237.83
504.0	44326.50
506.0	44458.40
508.0	45325.80
510.0	46547.24
512.0	48091.09
514.0	47919.66
516.0	47834.70
518.0	47672.86
520.0	48134.35
522.0	48942.07
524.0	50010.57
526.0	50574.96
528.0	50403.96
530.0	50224.57
532.0	50159.18
534.0	50157.15
536.0	49846.66
538.0	50142.99
540.0	51531.37
542.0	52517.00
544.0	52601.42
546.0	51485.98
548.0	50764.05
550.0	51129.34
552.0	51517.98
554.0	51198.29
556.0	51210.15
558.0	50739.99
560.0	52141.21
562.0	52097.77
564.0	53387.53
566.0	52777.08
568.0	52934.16
570.0	52692.12
572.0	53892.39
574.0	54785.79
576.0	54509.19
578.0	54496.75
580.0	54562.03
582.0	55176.96
584.0	54898.50
586.0	55748.99
588.0	55692.94
590.0	55450.54
592.0	54722.40
594.0	54763.43
596.0	54933.94
598.0	54834.22
600.0	54885.13
602.0	55028.79
604.0	55100.46
606.0	55024.45
608.0	54595.59
610.0	53996.84
612.0	53624.07
614.0	53990.49
616.0	53547.45
618.0	52743.27
620.0	52438.12
622.0	52004.28
624.0	51593.11
626.0	51355.16
628.0	51292.38
630.0	52145.03
632.0	51454.66
634.0	51091.29
636.0	50192.29
638.0	50238.14
640.0	50777.78
642.0	51190.80
644.0	51566.16
646.0	51252.26
648.0	51928.14
650.0	51363.71
652.0	51998.32
654.0	52144.66
656.0	53242.70
658.0	53791.58
660.0	52356.44
662.0	51753.45
664.0	51044.76
666.0	51735.47
668.0	50532.75
670.0	49765.55
672.0	49787.53
674.0	49233.27
676.0	48983.38
678.0	48392.46
680.0	48501.90
682.0	48277.67
684.0	47035.07
686.0	46630.04
688.0	45607.08
690.0	45639.00
692.0	45371.66
694.0	45476.71
696.0	44342.79
698.0	43641.16
700.0	42958.44
702.0	42922.11
704.0	41857.42
706.0	41209.92
708.0	40352.19
710.0	40660.22
712.0	40215.69
714.0	40629.49
716.0	40321.17
718.0	39319.66
720.0	38151.27
722.0	38172.66
724.0	38538.07
726.0	39188.85
728.0	38692.98
730.0	38157.20
732.0	37739.74
734.0	36950.61
736.0	36095.13
738.0	36044.07
740.0	35308.26
742.0	35928.63
744.0	35239.98
746.0	35701.72
748.0	34688.87
750.0	34493.71
752.0	33751.80
754.0	33645.37
756.0	32924.60
758.0	33349.14
760.0	33527.52
762.0	33489.97
764.0	32631.65
766.0	31975.52
768.0	30829.26
770.0	30320.14
772.0	30003.58
774.0	29730.18
776.0	29463.14
778.0	28643.60
780.0	28133.35
782.0	27618.20
784.0	27385.57
786.0	27412.83
788.0	27155.30
790.0	27412.43
792.0	26891.43
794.0	26476.78
796.0	25385.07
798.0	25114.63
800.0	25004.65
802.0	24722.65
804.0	24327.32
806.0	23957.55
808.0	23758.62
810.0	23295.04
812.0	23035.62
814.0	22802.58
816.0	22772.34
818.0	22577.68
820.0	22615.32
822.0	22226.58
824.0	21607.67
826.0	21182.67
828.0	21005.54
830.0	20437.02
832.0	20381.81
834.0	20107.73
836.0	20377.85
838.0	19464.62
840.0	19369.66
842.0	18692.55
844.0	18547.64
846.0	17587.87
848.0	17318.32
850.0	16947.94
852.0	16882.63
854.0	16699.54
856.0	16467.17
858.0	16420.42
860.0	15962.60
862.0	15481.05
864.0	15004.86
866.0	14936.19
868.0	15078.40
870.0	14936.42
872.0	14180.35
874.0	13703.81
876.0	13509.02
878.0	13547.26
880.0	13093.00
882.0	12602.33
884.0	12240.74
886.0	12198.81
888.0	11914.23
